2020年临海市事业单位公开招聘工作人员一览表,,,,,,,,,,,,,,,
序号,招聘单位主管部门,招聘单位,"单位类别
与预算管理方式","招聘
岗位","岗位
类别","招聘
人数",学历   要求,学位    要求,专业要求,其他要求和有关说明,笔试科目及分数比例,面试方式及分数比例,技能测试及分数比例,咨询电话,备注
1,中共临海市委办公室,临海市地方志编纂室,"公益一类
财政全额补助",市志编纂员,专技,1,本科及以上,学士及以上,一级学科：中国语言文学类、历史学类,"1.35周岁及以下；
2.临海范围。",《综合素质测试》占50%,结构化面试占50%,,0576-85114575,
2,中共临海市委统战部,临海市统一战线服务中心,"公益一类
财政全额补助",办公室工作人员A,专技,1,本科及以上,学士及以上,专业不限,"1.男性；
2.35周岁及以下；
3.台州范围。",《综合素质测试》占50%,结构化面试占50%,,0576-85116576,
3,中共临海市委统战部,临海市统一战线服务中心,"公益一类
财政全额补助",办公室工作人员B,专技,1,本科及以上,学士及以上,专业不限,"1.女性；
2.35周岁及以下；
3.台州范围。",《综合素质测试》占50%,结构化面试占50%,,0576-85116576,
4,临海市社会矛盾纠纷调处化解中心,临海市社会矛盾纠纷调处化解中心,"公益一类
财政全额补助",督查员,管理,1,本科及以上,学士及以上,"一级学科：法学类，法律类；
取得硕士研究生及以上学历并取得相应的硕士及以上学位的专业不限。","1.35周岁及以下；
2.台州范围；
3.人员用于市委政法委下属平安建设指导中心。",《综合素质测试》占50%,结构化面试占50%,,0576-85114750,
5,临海市发展和改革局,临海市发展和改革服务中心,"公益一类
财政全额补助",综合管理,专技,1,本科及以上,学士及以上,一级学科：经济学类、法学类、法律类、土木类、土木工程类、水利类、水利工程类,"1.35周岁及以下；
2.台州范围。",《综合素质测试》占50%,结构化面试占50%,,0576-85112470,
6,临海市经济和信息化局,临海市中小企业服务中心（临海市经济信息中心）,"公益一类
财政全额补助",企业管理A,专技,1,本科及以上,学士及以上,专业不限,"1.男性；
2.35周岁及以下；
3.临海范围。",《综合素质测试》占50%,结构化面试占50%,,0576-85115081,
7,临海市经济和信息化局,临海市中小企业服务中心（临海市经济信息中心）,"公益一类
财政全额补助",企业管理B,专技,1,本科及以上,学士及以上,专业不限,"1.女性；
2.35周岁及以下；
3.临海范围。",《综合素质测试》占50%,结构化面试占50%,,0576-85115081,
8,临海市经济和信息化局,临海市中小企业服务中心（临海市经济信息中心）,"公益一类
财政全额补助",企业管理C,专技,1,本科及以上,学士及以上,学科门类：工学,"1.35周岁及以下；
2.临海范围。",《综合素质测试》占50%,结构化面试占50%,,0576-85115081,
9,临海市审计局,临海市公共投资审计中心,"公益一类
财政全额补助",审计A,专技,1,本科及以上,学士及以上,会计学、会计、财务管理、财务会计、财务会计教育、企业财务管理、审计、审计学、财政学、财政,"1.男性；
2.35周岁及以下；
3.户籍不限；
4.面向2020年全日制普通高校应届毕业生。",《综合素质测试》占50%,结构化面试占50%,,0576-85113581,
10,临海市审计局,临海市公共投资审计中心,"公益一类
财政全额补助",审计B,专技,1,本科及以上,学士及以上,会计学、会计、财务管理、财务会计、财务会计教育、企业财务管理、审计、审计学、财政学、财政,"1.女性；
2.35周岁及以下；
3.户籍不限；
4.面向2020年全日制普通高校应届毕业生。",《综合素质测试》占50%,结构化面试占50%,,0576-85113581,
11,临海市审计局,临海市公共投资审计中心,"公益一类
财政全额补助",审计C,专技,1,本科及以上,学士及以上,会计学、会计、财务管理、财务会计、财务会计教育、企业财务管理、审计、审计学、财政学、财政,"1.男性；
2.35周岁及以下；
3.台州范围。",《综合素质测试》占50%,结构化面试占50%,,0576-85113581,
